#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Secale cereale	4550	PRJNA671783	671783	Plants	Land Plants	7735.06	45.9013	GCA_016097815.1	chromosome 1:CM027771.1; chromosome 2:CM027772.1; chromosome 3:CM027773.1; chromosome 4:CM027774.1; chromosome 5:CM027775.1; chromosome 6:CM027776.1; chromosome 7:CM027777.1	JADQCU01	24099	-	-	2020/12/16	2020/12/17	Chromosome	Henan Agricultural University	SAMN16551289
Solanum tuberosum	4113	PRJNA63145	63145	Plants	Land Plants	705.934	35.6005	GCA_000226075.1	chloroplast Pltd:NC_008096.2/	AEWC01	14854	33606	37966	2011/05/24	2014/08/11	Scaffold	Potato Genome Sequencing Consortium	SAMN02981305
Vitis vinifera	29760	PRJEA18785	18785	Plants	Land Plants	486.197	35.0336	GCA_000003745.2	chromosome 1:NC_012007.3/FN597015.1; chromosome 2:NC_012008.3/FN597017.1; chromosome 3:NC_012009.3/FN597018.1; chromosome 4:NC_012010.3/FN597020.1; chromosome 5:NC_012011.3/FN597022.1; chromosome 6:NC_012012.3/FN597024.1; chromosome 7:NC_012013.3/FN597025.1; chromosome 8:NC_012014.3/FN597027.1; chromosome 9:NC_012015.3/FN597028.1; chromosome 10:NC_012016.3/FN597030.1; chromosome 11:NC_012017.3/FN597032.1; chromosome 12:NC_012018.3/FN597034.1; chromosome 13:NC_012019.3/FN597036.1; chromosome 14:NC_012020.3/FN597038.1; chromosome 15:NC_012021.3/FN597039.1; chromosome 16:NC_012022.3/FN597040.1; chromosome 17:NC_012023.3/FN597042.1; chromosome 18:NC_012024.3/FN597044.1; chromosome 19:NC_012025.3/FN597046.1; mitochondrion MT:NC_012119.1/; chloroplast Pltd:NC_007957.1/	CAAP03	2061	29956	41208	2007/02/13	2009/11/25	Chromosome	International Grape Genome Program	SAMEA2272750
Galdieria sulphuraria	130081	PRJNA13023	13023	Other	Other	13.712	37.9	GCA_000341285.1	-	ADNM02	433	6723	7174	2013/01/08	2014/08/04	Scaffold	Galdieria sulphuraria Genome Project	SAMN00011278
Ostreococcus lucimarinus CCE9901	436017	PRJNA13044	13044	Plants	Green Algae	13.2049	60.4431	GCA_000092065.1	chromosome 1:NC_009355.1/CP000581.1; chromosome 2:NC_009356.1/CP000582.1; chromosome 3:NC_009357.1/CP000583.1; chromosome 4:NC_009358.1/CP000584.1; chromosome 5:NC_009359.1/CP000585.1; chromosome 6:NC_009360.1/CP000586.1; chromosome 7:NC_009361.1/CP000587.1; chromosome 8:NC_009362.1/CP000588.1; chromosome 9:NC_009363.1/CP000589.1; chromosome 10:NC_009364.1/CP000590.1; chromosome 11:NC_009365.1/CP000591.1; chromosome 12:NC_009366.1/CP000592.1; chromosome 13:NC_009367.1/CP000593.1; chromosome 14:NC_009368.1/CP000594.1; chromosome 15:NC_009369.1/CP000595.1; chromosome 16:NC_009370.1/CP000596.1; chromosome 17:NC_009371.1/CP000597.1; chromosome 18:NC_009372.1/CP000598.1; chromosome 19:NC_009373.1/CP000599.1; chromosome 20:NC_009374.1/CP000600.1; chromosome 21:NC_009375.1/CP000601.1	-	21	7640	7603	2007/04/10	2017/06/23	Complete Genome	US DOE Joint Genome Institute	SAMN03081420
Selaginella moellendorffii	88036	PRJNA13078	13078	Plants	Land Plants	212.315	45.3	GCA_000143415.2	-	ADFJ01	757	37888	45247	2010/06/24	2014/08/11	Scaffold	Selaginella Consortium	SAMN02981255
Volvox carteri f. nagariensis	3068	PRJNA13109	13109	Plants	Green Algae	137.684	55.3	GCA_000143455.1	-	ACJH01	1251	14437	14436	2010/07/06	2014/08/06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953753
Phaeodactylum tricornutum CCAP 1055/1	556484	PRJNA13152	13152	Other	Other	27.4507	48.8432	GCA_000150955.2	chromosome 1:NC_011669.1/CM000605.1; chromosome 2:NC_011670.1/CM000606.1; chromosome 3:NC_011671.1/CP001142.1; chromosome 4:NC_011672.1/CM000607.1; chromosome 5:NC_011673.1/CM000608.1; chromosome 6:NC_011674.1/CM000609.1; chromosome 7:NC_011675.1/CM000610.1; chromosome 8:NC_011676.1/CM000611.1; chromosome 9:NC_011677.1/CM000612.1; chromosome 10:NC_011678.1/CM000613.1; chromosome 11:NC_011679.1/CP001141.1; chromosome 12:NC_011680.1/CM000614.1; chromosome 13:NC_011681.1/CM000615.1; chromosome 14:NC_011682.1/CM000616.1; chromosome 15:NC_011683.1/CM000617.1; chromosome 16:NC_011684.1/CM000618.1; chromosome 17:NC_011685.1/CM000619.1; chromosome 18:NC_011686.1/CM000620.1; chromosome 19:NC_011687.1/CM000621.1; chromosome 20:NC_011688.1/CM000622.1; chromosome 21:NC_011689.1/CM000623.1; chromosome 22:NC_011690.1/CM000624.1; chromosome 23:NC_011691.1/CM000625.1; chromosome 24:NC_011692.1/CM000626.1; chromosome 25:NC_011693.1/CM000627.1; chromosome 26:NC_011694.1/CM000628.1; chromosome 27:NC_011695.1/CM000629.1; chromosome 28:NC_011696.1/CM000630.1; chromosome 29:NC_011697.1/CM000631.1; chromosome 30:NC_011698.1/CM000632.1; chromosome 31:NC_011699.1/CM000633.1; chromosome 32:NC_011700.1/CM000634.1; chromosome 33:NC_011701.1/CM000635.1	ABQD01	88	10398	10408	2008/10/10	2014/08/06	Chromosome	Diatom Consortium	SAMN02953727
Candida dubliniensis CD36	573826	PRJEA34697	34697	Fungi	Ascomycetes	14.6184	33.2489	GCA_000026945.1	chromosome R:NC_012867.1/FM992695.1; chromosome 1:NC_012860.1/FM992688.1; chromosome 2:NC_012861.1/FM992689.1; chromosome 3:NC_012862.1/FM992690.1; chromosome 4:NC_012863.1/FM992691.1; chromosome 5:NC_012864.1/FM992692.1; chromosome 6:NC_012865.1/FM992693.1; chromosome 7:NC_012866.1/FM992694.1	-	8	6093	5859	2009/02/16	2017/08/28	Complete Genome	Wellcome Trust Sanger Institute	SAMEA2272258
Cryptosporidium hominis	237895	PRJEB10000	304234	Protists	Apicomplexans	9.06885	30.1392	GCA_002223825.1	chromosome 1:LN877947.1; chromosome 2:LN877948.1; chromosome 3:LN877949.1; chromosome 4:LN877950.1; chromosome 5:LN877951.1; chromosome 6:LN877952.1; chromosome 7:LN877953.1; chromosome 8:LN877954.1	CXWB01	12	3818	3817	2015/11/29	2015/11/29	Chromosome	Universidad de Antioquia, CNSG	SAMEA3496639
Nicotiana tabacum	4097	PRJNA319578	319578	Plants	Land Plants	3643.47	39.2006	GCA_000715135.1	plastid Pltd:NC_001879.2/; mitochondrion MT:NC_006581.1/	AYMY01	168247	74273	84255	2014/05/29	2015/04/28	Scaffold	NCBI	SAMN02316627
Aureococcus anophagefferens	44056	PRJNA13500	13500	Protists	Other Protists	56.6606	67.4	GCA_000186865.1	-	ACJI01	1185	11522	11520	2011/01/26	2014/09/04	Scaffold	DOE Joint Genome Institute	SAMN02953754
Manihot esculenta	3983	PRJNA394209	394209	Plants	Land Plants	582.279	38.0059	GCA_001659605.1	chromosome LG1:NC_035161.1/CM004387.1; chromosome LG2:NC_035162.1/CM004388.1; chromosome LG3:NC_035163.1/CM004389.1; chromosome LG4:NC_035164.1/CM004390.1; chromosome LG5:NC_035165.1/CM004391.1; chromosome LG6:NC_035166.1/CM004392.1; chromosome LG7:NC_035167.1/CM004393.1; chromosome LG8:NC_035168.1/CM004394.1; chromosome LG9:NC_035169.1/CM004395.1; chromosome LG10:NC_035170.1/CM004396.1; chromosome LG11:NC_035171.1/CM004397.1; chromosome LG12:NC_035172.1/CM004398.1; chromosome LG13:NC_035173.1/CM004399.1; chromosome LG14:NC_035174.1/CM004400.1; chromosome LG15:NC_035175.1/CM004401.1; chromosome LG16:NC_035176.1/CM004402.1; chromosome LG17:NC_035177.1/CM004403.1; chromosome LG18:NC_035178.1/CM004404.1; chloroplast Pltd:NC_010433.1/	LTYI01	2020	31954	43286	2016/06/07	2016/06/10	Chromosome	NCBI	SAMN04116956
Aplysia californica	6500	PRJNA13635	13635	Animals	Other Animals	927.31	41.9999	GCA_000002075.2	mitochondrion MT:NC_005827.1/	AASC03	4332	21537	26676	2006/08/17	2014/08/06	Scaffold	Broad Institute	SAMN02953658
Schizosaccharomyces octosporus yFS286	483514	PRJNA13639	13639	Fungi	Ascomycetes	11.6345	37.9	GCA_000150505.2	-	ABHY03	5	5347	4986	2007/12/12	2014/08/06	Scaffold	Broad Institute	SAMN02953709
Schizosaccharomyces japonicus yFS275	402676	PRJNA13640	13640	Fungi	Ascomycetes	11.7332	44.1	GCA_000149845.2	-	AATM02	32	5224	4878	2006/10/11	2014/08/06	Scaffold	Broad Institute	SAMN02953668
Callithrix jacchus	9483	PRJNA635392	635392	Animals	Mammals	2897.82	40.9673	GCA_009663435.2	chromosome 1:NC_048383.1/CM018917.1; chromosome 2:NC_048384.1/CM018918.1; chromosome 3:NC_048385.1/CM018919.1; chromosome 4:NC_048386.1/CM018920.1; chromosome 5:NC_048387.1/CM018921.1; chromosome 6:NC_048388.1/CM018922.1; chromosome 7:NC_048389.1/CM018923.1; chromosome 8:NC_048390.1/CM018924.1; chromosome 9:NC_048391.1/CM018925.1; chromosome 10:NC_048392.1/CM018926.1; chromosome 11:NC_048393.1/CM018927.1; chromosome 12:NC_048394.1/CM018928.1; chromosome 13:NC_048395.1/CM018929.1; chromosome 14:NC_048396.1/CM018930.1; chromosome 15:NC_048397.1/CM018931.1; chromosome 16:NC_048398.1/CM018932.1; chromosome 17:NC_048399.1/CM018933.1; chromosome 18:NC_048400.1/CM018934.1; chromosome 19:NC_048401.1/CM018935.1; chromosome 20:NC_048402.1/CM018936.1; chromosome 21:NC_048403.1/CM018937.1; chromosome 22:NC_048404.1/CM018938.1; chromosome X:NC_048405.1/CM018939.1; chromosome Y:NC_048406.1/CM023155.1; mitochondrion MT:NC_025586.1/	WJHW01	994	42294	85133	2019/11/07	2020/05/26	Chromosome	NCBI	SAMN12783337
Batrachochytrium dendrobatidis JAM81	684364	PRJNA41157	41157	Fungi	Other Fungi	24.3151	39.3	GCA_000203795.1	-	ADAR01	127	8677	8677	2011/04/07	2014/08/01	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02746048
Rhodnius prolixus	13249	PRJNA13648	13648	Animals	Insects	706.824	37.1	GCA_000181055.3	-	ACPB03	16537	-	-	2009/06/17	2015/04/08	Scaffold	Washington University Genome Sequencing Center	SAMN02953759
Acyrthosiphon pisum	7029	PRJNA547584	547584	Animals	Insects	541.138	31.2911	GCA_005508785.1	chromosome X:NC_042493.1/CM016665.1; chromosome A1:NC_042494.1/CM016664.1; chromosome A2:NC_042495.1/CM016666.1; chromosome A3:NC_042496.1/CM016667.1; mitochondrion MT:NC_011594.1/	SDIB01	21920	20903	28509	2019/05/17	2020/08/04	Chromosome	NCBI	SAMN10253041
Nasonia vitripennis	7425	PRJNA594415	594415	Animals	Insects	297.31	41.1431	GCA_009193385.2	chromosome 1:NC_045757.1/CM020934.1; chromosome 2:NC_045758.1/CM020935.1; chromosome 3:NC_045759.1/CM020936.1; chromosome 4:NC_045760.1/CM020937.1; chromosome 5:NC_045761.1/CM020938.1	WELF01	444	15501	34173	2019/10/21	2020/02/29	Chromosome	NCBI	SAMN12877551
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	41.5	GCA_000181295.3	-	AAQR03	7793	31917	32556	2006/06/02	2014/08/11	Scaffold	Broad Institute	SAMN02981229
Zymoseptoria tritici IPO323	336722	PRJNA19047	19047	Fungi	Ascomycetes	39.6863	52.1368	GCA_000219625.1	chromosome 1:NC_018218.1/CM001196.1; chromosome 2:NC_018217.1/CM001197.1; chromosome 3:NC_018216.1/CM001198.1; chromosome 4:NC_018215.1/CM001199.1; chromosome 5:NC_018214.1/CM001200.1; chromosome 6:NC_018213.1/CM001201.1; chromosome 7:NC_018212.1/CM001202.1; chromosome 8:NC_018211.1/CM001203.1; chromosome 9:NC_018210.1/CM001204.1; chromosome 10:NC_018209.1/CM001205.1; chromosome 11:NC_018208.1/CM001206.1; chromosome 12:NC_018207.1/CM001207.1; chromosome 13:NC_018206.1/CM001208.1; chromosome 14:NC_018205.1/CM001209.1; chromosome 15:NC_018204.1/CM001210.1; chromosome 16:NC_018203.1/CM001211.1; chromosome 17:NC_018202.1/CM001212.1; chromosome 18:NC_018201.1/CM001213.1; chromosome 19:NC_018200.1/CM001214.1; chromosome 20:NC_018199.1/CM001215.1; chromosome 21:NC_018198.1/CM001216.1	ACPE01	21	10942	10941	2011/06/22	2014/08/04	Chromosome	DOE Joint Genome Institute	SAMN02746078
Parastagonospora nodorum SN15	321614	PRJNA13754	13754	Fungi	Ascomycetes	37.214	50.3719	GCA_000146915.2	mitochondrion MT:NC_009746.1/EU053989.1	AAGI01	108	16114	15994	2005/04/04	2014/08/06	Scaffold	Broad Institute	SAMN02953619
Oryza rufipogon	4529	PRJNA305217	305217	Plants	Land Plants	384.518	43.9	GCA_001551805.1	-	LONB01	2582	-	-	2016/02/07	2016/02/07	Contig	 The University of Queensland	SAMN04320549
Oryza glaberrima	4538	PRJNA13765	13765	Plants	Land Plants	347.321	42.8725	GCA_000147395.3	chromosome 1:CM029708.1; chromosome 2:CM029709.1; chromosome 3:CM029710.1; chromosome 4:CM029711.1; chromosome 5:CM029712.1; chromosome 6:CM029713.1; chromosome 7:CM029714.1; chromosome 8:CM029715.1; chromosome 9:CM029716.1; chromosome 10:CM029717.1; chromosome 11:CM029718.1; chromosome 12:CM029719.1	ADWL02	72	-	-	2010/07/08	2021/03/10	Chromosome	The Oryza Map Alignment Project (OMAP)	SAMN02981267
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	40.5	GCA_000236235.1	-	AGTP01	12483	26378	38592	2011/11/25	2013/11/01	Scaffold	Broad Institute	SAMN00210855
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	41.4	GCA_000181375.1	-	AAPY01	841006	-	-	2006/06/08	2014/08/26	Contig	Broad Institute	SAMN03004381
Nomascus leucogenys	61853	PRJNA564096	564096	Animals	Mammals	2843.98	41.0665	GCA_006542625.1	chromosome 1a:NC_044381.1/CM016945.1; chromosome 2:NC_044382.1/CM016946.1; chromosome 3:NC_044383.1/CM016947.1; chromosome 4:NC_044384.1/CM016948.1; chromosome 5:NC_044385.1/CM016949.1; chromosome 6:NC_044386.1/CM016950.1; chromosome 7b:NC_044387.1/CM016951.1; chromosome 8:NC_044388.1/CM016952.1; chromosome 9:NC_044389.1/CM016953.1; chromosome 10:NC_044390.1/CM016954.1; chromosome 11:NC_044391.1/CM016955.1; chromosome 12:NC_044392.1/CM016956.1; chromosome 13:NC_044393.1/CM016957.1; chromosome 14:NC_044394.1/CM016958.1; chromosome 15:NC_044395.1/CM016959.1; chromosome 16:NC_044396.1/CM016960.1; chromosome 17:NC_044397.1/CM016961.1; chromosome 18:NC_044398.1/CM016962.1; chromosome 19:NC_044399.1/CM016963.1; chromosome 20:NC_044400.1/CM016964.1; chromosome 21:NC_044401.1/CM016965.1; chromosome 22a:NC_044402.1/CM016966.1; chromosome 23:NC_044403.1/CM016967.1; chromosome 24:NC_044404.1/CM016968.1; chromosome 25:NC_044405.1/CM016969.1; chromosome X:NC_044406.1/CM016970.1; mitochondrion MT:NC_021957.1/	VIFL01	2377	33914	51330	2019/07/01	2019/07/02	Chromosome	NCBI	SAMN11124083
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.9	GCA_000223415.1	-	ACKM01	1240	-	-	2011/08/16	2014/08/06	Scaffold	Washington University Genome Sequencing Center	SAMN02953756
Lolium perenne	4522	PRJNA340873	340873	Plants	Land Plants	481.479	46.3	GCA_001735685.1	-	MEHO01	666180	-	-	2016/09/20	2016/09/20	Scaffold	rutgers university	SAMN05714679
Sclerotinia sclerotiorum 1980 UF-70	665079	PRJNA15530	15530	Fungi	Ascomycetes	38.4592	41.8631	GCA_000146945.2	mitochondrion MT:NC_035155.1/KT283062.1	AAGT01	37	14714	14490	2005/09/19	2014/08/06	Scaffold	Broad Institute	SAMN02953621
Fusarium verticillioides 7600	334819	PRJNA15553	15553	Fungi	Ascomycetes	41.8449	48.6857	GCA_000149555.1	chromosome 1:NC_031675.1/CM000578.1; chromosome 2:NC_031676.1/CM000579.1; chromosome 3:NC_031677.1/CM000580.1; chromosome 4:NC_031678.1/CM000581.1; chromosome 5:NC_031679.1/CM000582.1; chromosome 6:NC_031680.1/CM000583.1; chromosome 7:NC_031681.1/CM000584.1; chromosome 8:NC_031682.1/CM000585.1; chromosome 9:NC_031683.1/CM000586.1; chromosome 10:NC_031684.1/CM000587.1; chromosome 11:NC_031685.1/CM000588.1; mitochondrion MT:NC_016687.1/	AAIM02	37	16290	20574	2005/10/18	2016/03/14	Chromosome	Broad Institute	SAMN02953630
Botrytis cinerea B05.10	332648	PRJNA15632	15632	Fungi	Ascomycetes	42.6301	42.0028	GCA_000143535.4	chromosome 1:NC_037310.1/CP009805.1; chromosome 2:NC_037311.1/CP009806.1; chromosome 3:NC_037312.1/CP009807.1; chromosome 4:NC_037313.1/CP009808.1; chromosome 5:NC_037314.1/CP009809.1; chromosome 6:NC_037315.1/CP009810.1; chromosome 7:NC_037316.1/CP009811.1; chromosome 8:NC_037317.1/CP009812.1; chromosome 9:NC_037318.1/CP009813.1; chromosome 10:NC_037319.1/CP009814.1; chromosome 11:NC_037320.1/CP009815.1; chromosome 12:NC_037321.1/CP009816.1; chromosome 13:NC_037322.1/CP009817.1; chromosome 14:NC_037323.1/CP009818.1; chromosome 15:NC_037324.1/CP009819.1; chromosome 16:NC_037325.1/CP009820.1; chromosome 17:NC_037326.1/CP009821.1; chromosome 18:NC_037327.1/CP009822.1	-	18	11698	13703	2015/02/05	2018/04/17	Complete Genome	Syngenta Biotechnology, Inc.	SAMN02953628
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.823	37.5991	GCA_000004255.1	chloroplast Pltd:NC_034379.1/	ADBK01	696	34365	39161	2009/11/30	2014/08/11	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02981250
Erythranthe guttata	4155	PRJNA13880	13880	Plants	Land Plants	322.167	36.3144	GCA_000504015.1	mitochondrion MT:NC_018041.1/	APLE01	2212	30379	31861	2013/12/04	2014/05/02	Scaffold	DOE Joint Genome Institute	SAMN02742818
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.9	GCA_000375325.1	-	ANNY01	773	29301	34126	2013/04/19	2014/08/11	Scaffold	DOE Joint Genome Institute	SAMN02981483
Aspergillus clavatus NRRL 1	344612	PRJNA15664	15664	Fungi	Ascomycetes	27.8594	49.2	GCA_000002715.1	-	AAKD03	143	9379	9121	2005/09/09	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953636
Aspergillus fischeri NRRL 181	331117	PRJNA15672	15672	Fungi	Ascomycetes	31.6659	49.6	GCA_000149645.3	-	AAKE03	376	10665	10388	2005/09/09	2014/08/06	Scaffold	TIGR	SAMN02953637
Micromonas pusilla CCMP1545	564608	PRJNA15678	15678	Plants	Green Algae	21.9583	65.7	GCA_000151265.1	-	ACCP01	21	10248	10242	2009/04/07	2014/08/06	Scaffold	Micromonas Genome Consortium	SAMN02953743
Hevea brasiliensis	3981	PRJNA394253	394253	Plants	Land Plants	1373.53	35.7	GCA_001654055.1	chloroplast Pltd:NC_015308.1/	LVXX01	7453	42686	58062	2016/06/01	2016/06/01	Scaffold	NCBI	SAMN04451765
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	370.419	39.0069	GCA_000150535.1	mitochondrion MT:NC_012116.1/; chloroplast Pltd:NC_010323.1/	ABIM01	17766	20332	26103	2008/04/23	2014/08/06	Scaffold	The Papaya Genome Sequencing Consortium	SAMN02953710
Ixodes scapularis	6945	PRJNA357111	357111	Animals	Other Animals	2081.33	46	GCA_002892825.2	-	PKSA02	6476	37259	32572	2018/01/19	2018/09/28	Contig	NCBI	SAMN06329993
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.9	GCA_000006295.1	-	AAZO01	1882	10993	10775	2007/04/18	2014/08/06	Scaffold	The human body louse genome consortium	SAMN02953682
Aspergillus oryzae RIB40	510516	PRJNA17431	17431	Fungi	Ascomycetes	37.912	48.2552	GCA_000184455.3	chromosome 1:NC_036435.1/BA000049.1; chromosome 2:NC_036436.1/BA000050.1; chromosome 3:NC_036437.1/BA000051.1; chromosome 4:NC_036438.1/BA000052.1; chromosome 5:NC_036439.1/BA000053.1; chromosome 6:NC_036440.1/BA000054.1; chromosome 7:NC_036441.1/BA000055.1; chromosome 8:NC_036442.1/BA000056.1; mitochondrion MT:NC_008282.1/AP007176.1	-	12	12347	12074	2011/06/07	2018/04/04	Chromosome	National Institute of Technology and Evaluation (NITE), Japan	SAMD00067075
Oryzias latipes	8090	PRJNA325079	325079	Animals	Fishes	734.057	40.8475	GCA_002234675.1	chromosome 1:NC_019859.2/CP020665.1; chromosome 2:NC_019860.2/CP020666.1; chromosome 3:NC_019861.2/CP020667.1; chromosome 4:NC_019862.2/CP020668.1; chromosome 5:NC_019863.2/CP020669.1; chromosome 6:NC_019864.2/CP020670.1; chromosome 7:NC_019865.2/CP020671.1; chromosome 8:NC_019866.2/CP020672.1; chromosome 9:NC_019867.2/CP020673.1; chromosome 10:NC_019868.2/CP020674.1; chromosome 11:NC_019869.2/CP020675.1; chromosome 12:NC_019870.2/CP020676.1; chromosome 13:NC_019871.2/CP020677.1; chromosome 14:NC_019872.2/CP020678.1; chromosome 15:NC_019873.2/CP020679.1; chromosome 16:NC_019874.2/CP020680.1; chromosome 17:NC_019875.2/CP020681.1; chromosome 18:NC_019876.2/CP020682.1; chromosome 19:NC_019877.2/CP020683.1; chromosome 20:NC_019878.2/CP020684.1; chromosome 21:NC_019879.2/CP020685.1; chromosome 22:NC_019880.2/CP020686.1; chromosome 23:NC_019881.2/CP020687.1; chromosome 24:NC_019882.2/CP020688.1; mitochondrion MT:NC_004387.1/	-	25	26846	44766	2012/12/22	2018/02/15	Chromosome	The University of Tokyo	SAMN06689957
Theobroma cacao	3641	PRJEB14326	328106	Plants	Land Plants	324.88	34.9922	GCA_000208745.2	chromosome 1:NC_030850.1/LT594788.1; chromosome 2:NC_030851.1/LT594789.1; chromosome 3:NC_030852.1/LT594790.1; chromosome 4:NC_030853.1/LT594791.1; chromosome 5:NC_030854.1/LT594792.1; chromosome 6:NC_030855.1/LT594793.1; chromosome 7:NC_030856.1/LT594794.1; chromosome 8:NC_030857.1/LT594795.1; chromosome 9:NC_030858.1/LT594796.1; chromosome 10:NC_030859.1/LT594797.1; chloroplast Pltd:NC_014676.2/	FLSQ01	431	24957	30854	2016/07/08	2016/07/08	Chromosome	CIRAD	SAMEA4028428
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.7	GCA_000147115.1	-	AAPE02	11654	31342	43106	2006/06/01	2014/08/06	Scaffold	Broad Institute	SAMN02953645
Ricinus communis	3988	PRJNA16585	16585	Plants	Land Plants	350.622	34.4006	GCA_000151685.2	chloroplast Pltd:NC_016736.1/JF937588.1	AASG02	25763	26050	28584	2006/07/18	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953659
Phycomyces blakesleeanus NRRL 1555(-)	763407	PRJNA61391	61391	Fungi	Other Fungi	53.9392	35.9	GCA_001638985.2	-	AMYC01	80	16850	16543	2016/05/06	2016/05/06	Scaffold	DOE Joint Genome Institute	SAMN00189023
Ascosphaera apis ARSEF 7405	392613	PRJNA72725	72725	Fungi	Ascomycetes	20.3131	47	GCA_001636715.1	-	AZGZ01	82	6442	6442	2016/05/02	2016/05/02	Scaffold	Shanghai Institutes for Biological Sciences, CAS	SAMN04908326
Laccaria bicolor S238N-H82	486041	PRJNA19043	19043	Fungi	Basidiomycetes	64.8774	47.1	GCA_000143565.1	-	ABFE01	665	18264	18215	2007/11/29	2014/08/01	Scaffold	Laccaria Genome Consortium	SAMN02769624
Panicum virgatum	38727	PRJNA40657	40657	Plants	Land Plants	1130	46.8007	GCA_016808335.1	chromosome 1K:NC_053136.1/CM029037.1; chromosome 2K:NC_053137.1/CM029039.1; chromosome 3K:NC_053138.1/CM029041.1; chromosome 4K:NC_053139.1/CM029043.1; chromosome 5K:NC_053140.1/CM029045.1; chromosome 6K:NC_053141.1/CM029047.1; chromosome 7K:NC_053142.1/CM029049.1; chromosome 8K:NC_053143.1/CM029051.1; chromosome 9K:NC_053144.1/CM029053.1; chromosome 1N:NC_053145.1/CM029038.1; chromosome 2N:NC_053146.1/CM029040.1; chromosome 3N:NC_053147.1/CM029042.1; chromosome 4N:NC_053148.1/CM029044.1; chromosome 5N:NC_053149.1/CM029046.1; chromosome 6N:NC_053150.1/CM029048.1; chromosome 7N:NC_053151.1/CM029050.1; chromosome 8N:NC_053152.1/CM029052.1; chromosome 9N:NC_053153.1/CM029054.1; chloroplast Pltd:NC_015990.1/	JABWAI01	1090	74976	84836	2020/10/05	2021/02/23	Chromosome	DOE Joint Genome Institute	SAMN00760928
Vigna radiata var. radiata	3916	PRJNA301363	301363	Plants	Land Plants	463.638	34.3983	GCA_000741045.2	chromosome 1:NC_028351.1/CM003504.1; chromosome 2:NC_028352.1/CM003505.1; chromosome 3:NC_028353.1/CM003506.1; chromosome 4:NC_028354.1/CM003507.1; chromosome 5:NC_028355.1/CM003508.1; chromosome 6:NC_028356.1/CM003509.1; chromosome 7:NC_028357.1/CM003510.1; chromosome 8:NC_028358.1/CM003511.1; chromosome 9:NC_028359.1/CM003512.1; chromosome 10:NC_028360.1/CM003513.1; chromosome 11:NC_028361.1/CM003514.1; mitochondrion MT:NC_015121.1/; chloroplast Pltd:NC_013843.1/	JJMO01	2499	30003	42284	2014/08/18	2015/10/28	Chromosome	NCBI	SAMN02720863
Taenia solium	6204	PRJNA170813	170813	Animals	Flatworms	129.811	43	GCA_001870725.1	-	MIEF01	13131	-	-	2016/11/07	2016/11/07	Scaffold	Taenia solium Genome Consortium	SAMN01090682
Bemisia tabaci	7038	PRJNA352527	352527	Animals	Insects	615.017	39.8996	GCA_001854935.1	mitochondrion MT:NC_006279.1/	MAMS01	19751	15283	22737	2016/10/26	2016/10/26	Scaffold	NCBI	SAMN04500967
Callorhinchus milii	7868	PRJNA18361	18361	Animals	Fishes	974.499	42.5998	GCA_000165045.2	mitochondrion MT:NC_014285.1/	AAVX02	21204	34597	28237	2007/01/05	2013/12/20	Scaffold	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Chlorella variabilis	554065	PRJNA45853	45853	Plants	Green Algae	46.1595	65.5	GCA_000147415.1	-	ADIC01	414	9780	9780	2010/08/31	2014/08/01	Scaffold	JGI	SAMN02744065
Brachypodium distachyon	15368	PRJNA32607	32607	Plants	Land Plants	271.299	46.4183	GCA_000005505.4	chromosome 1:NC_016131.3/CM000880.3; chromosome 2:NC_016132.3/CM000881.3; chromosome 3:NC_016133.3/CM000882.3; chromosome 4:NC_016134.3/CM000883.3; chromosome 5:NC_016135.3/CM000884.3; chloroplast Pltd:NC_011032.1/	ADDN03	15	31335	37892	2010/02/10	2018/01/24	Chromosome	The International Brachypodium Initiative	SAMN02981254
Chlorella vulgaris	3077	PRJNA542208	542208	Plants	Green Algae	39.0804	59.2	GCA_009720205.1	-	VATV01	753	-	-	2019/11/28	2019/11/28	Scaffold	Chinese Academy of Sciences	SAMN11534441
