#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Murine respirovirus	11191		0	Other	Paramyxoviridae	15.384	45.9	vertebrates	AB195968.1	6	6	2004/12/04	2008/06/21	Complete Genome
Infectious pancreatic necrosis virus	11002		0	Other	Birnaviridae	5.881	54.4793	vertebrates	 A:NC_001915.1/M18049.1;  B:NC_001916.1/M58756.1	3	3	1991/03/29	2018/08/13	Complete Genome
Feline immunodeficiency virus	11673		0	Other	Retroviridae	9.474	36.8	vertebrates	NC_001482.1/M25381.1	5	6	1993/08/02	2018/08/13	Complete Genome
Beet necrotic yellow vein virus	31721		0	Other	Benyviridae	15.914	40.2424	land plants	 RNA 5:NC_003513.1/D63936.1;  RNA 1:NC_003514.1/D84410.1;  RNA 2:NC_003515.1/D84411.1;  RNA 3:NC_003516.1/D84412.1;  RNA 4:NC_003517.1/D84413.1	10	10	1995/09/02	2018/08/13	Complete Genome
Barley yellow dwarf virus GAV	224578		0	Other	Luteoviridae	5.685	48	land plants	 Unknown:NC_004666.1/AY220739.1	7	7	2003/03/26	2018/08/13	Complete Genome
Mopeia Lassa virus reassortant 29	300180	PRJNA73681	73681	Other	Arenaviridae	10.673	43.11	vertebrates	 L:NC_006572.1/AY772167.1;  S:NC_006573.1/AY772168.1	4	4	2004/11/15	2018/08/13	Complete Genome
Mopeia virus AN20410	300175		0	Other	Arenaviridae	10.698	43.461	vertebrates	 L:NC_006574.1/AY772169.1;  S:NC_006575.1/AY772170.1	4	4	2004/11/15	2018/08/13	Complete Genome
Sweet potato chlorotic fleck virus	263004		0	Other	Betaflexiviridae	9.104	42.3	land plants	 Unknown:NC_006550.1/AY461421.1	6	6	2004/11/30	2018/08/13	Complete Genome
Avian sapelovirus	686983		0	Other	Picornaviridae	8.289	42.7	-	 Unknown:NC_006553.1/AY563023.1	1	1	2004/09/01	2018/08/13	Complete Genome
Magnaporthe oryzae virus 1	271257		0	Other	Totiviridae	5.359	57.9	-	 Unknown:NC_006367.1/AB176964.1	2	2	2004/10/13	2018/08/13	Complete Genome
Solenopsis invicta virus 1	294369		0	Other	Dicistroviridae	8.026	38.9	invertebrates	 Unknown:NC_006559.1/AY634314.1	2	2	2004/09/29	2018/08/13	Complete Genome
Thogoto thogotovirus	11569		0	Other	Orthomyxoviridae	10.461	48.0266	invertebrates,vertebrates	 2:NC_006495.1/AF004985.1;  3:NC_006496.1/AF006073.1;  6:NC_006504.1/AF527531.1;  4:NC_006506.1/M77280.1;  5:NC_006507.1/X96872.1;  1:NC_006508.1/Y17873.1	7	7	1992/02/11	2018/08/13	Complete Genome
Hantavirus Z10	93830		0	Other	Hantaviridae	11.85	39.3134	human	 S:NC_006433.1/AF184987.1;  L:NC_006435.1/AF189155.1;  M:NC_006437.1/AF276987.1	3	3	1999/10/07	2018/08/13	Complete Genome
Watermelon mosaic virus	146500		0	Other	Potyviridae	10.035	41.2	land plants	NC_006262.1/AY437609.1	2	2	2004/08/12	2018/08/13	Complete Genome
Usutu virus	64286		0	Other	Flaviviridae	11.066	51	human,invertebrates,vertebrates	 Unknown:NC_006551.1/AY453411.1	2	2	2004/10/05	2019/05/24	Complete Genome
Getah virus	59300		0	Other	Togaviridae	11.597	52.5	invertebrates,vertebrates	 Unknown:NC_006558.1/AY702913.1	3	3	2004/09/29	2018/08/13	Complete Genome
Sandfly fever Naples virus	206160		0	Other	Phenuiviridae	12.488	44.5977	invertebrates	 S:NC_006318.1/X53794.1;  L:NC_006319.1/X68414.1;  M:NC_006320.1/X89628.1	4	4	1991/03/11	2018/08/13	Complete Genome
Influenza C virus (C/Ann Arbor/1/50)	11553		0	Other	Orthomyxoviridae	12.906	37.2985	human,vertebrates	 1:NC_006307.2/AB126191.2;  7:NC_006306.2/AB283001.1;  2:NC_006308.2/AB126192.2;  3:NC_006309.2/AB126193.2;  4:NC_006310.2/AB126194.2;  5:NC_006311.1/AB126195.1;  6:NC_006312.2/AB126196.2	9	9	2004/06/29	2018/08/13	Complete Genome
Poplar mosaic virus	12166		0	Other	Betaflexiviridae	8.741	45.4	land plants	 Unknown:NC_005343.1/AY505475.1	6	6	2004/01/13	2018/08/13	Complete Genome
Carrot red leaf virus	66200		0	Other	Luteoviridae	5.723	47.6	land plants	 Unknown:NC_006265.1/AY695933.1	7	7	2004/08/28	2018/08/13	Complete Genome
Strawberry pallidosis-associated virus	227507		0	Other	Closteroviridae	16.044	37.5563	land plants	 RNA 1:NC_005895.2/AY488137.2;  RNA 2:NC_005896.2/AY488138.2	10	10	2004/06/01	2018/08/13	Complete Genome
Citrus psorosis virus	73561		0	Other	Aspiviridae	11.278	34.6453	land plants	 RNA 1:NC_006314.1/AY654892.1;  RNA 2:NC_006315.1/AY654893.1;  RNA 3:NC_006316.1/AY654894.1	4	4	2004/07/18	2018/08/13	Complete Genome
White clover cryptic virus 1	292052		0	Other	Partitiviridae	3.663	46.6646	land plants	 RNA 1:NC_006275.1/AY705784.1;  RNA 2:NC_006276.1/AY705785.1	2	2	2004/09/14	2018/08/13	Complete Genome
Little cherry virus 2	154339		0	Other	Closteroviridae	15.045	40.8	land plants	 Unknown:NC_005065.1/AF531505.1	10	10	2003/07/31	2018/08/13	Complete Genome
Agropyron mosaic virus	41763		0	Other	Potyviridae	9.54	44.1	-	 Unknown:NC_005903.1/AY623626.1	2	2	2004/06/15	2018/08/13	Complete Genome
Hordeum mosaic virus	41764		0	Other	Potyviridae	9.463	44.3	-	 Unknown:NC_005904.1/AY623627.1	2	2	2004/06/15	2018/08/13	Complete Genome
Cymbidium ringspot virus	12144		0	Other	Tombusviridae	4.733	50	land plants	 Unknown:NC_003532.1/X15511.1	5	5	1989/11/23	2018/08/13	Complete Genome
Pea early-browning virus	12294		0	Other	Virgaviridae	10.447	40.4323	land plants	 RNA 1:NC_002036.1/X14006.1;  RNA 2:NC_001368.1/X51828.1	7	7	1989/03/21	2018/08/13	Complete Genome
Potato leafroll virus	12045		0	Other	Luteoviridae	5.987	49.5	land plants	 Unknown:NC_001747.1/D00530.1	8	8	1992/05/25	2018/08/13	Complete Genome
White clover mosaic virus	12188		0	Other	Alphaflexiviridae	5.845	44.1	land plants	 Unknown:NC_003820.1/X06728.1	5	5	1988/08/10	2018/08/13	Complete Genome
Tobacco mosaic virus	12242		0	Other	Virgaviridae	6.395	43.3	land plants	 Unknown:NC_001367.1/V01408.1	6	6	1983/07/13	2018/08/13	Complete Genome
Turnip yellows virus	131083		0	Other	Luteoviridae	5.641	49.1	land plants	 Unknown:NC_003743.1/X13063.1	7	7	1988/11/17	2018/08/13	Complete Genome
Plantago asiatica mosaic virus	28354		0	Other	Alphaflexiviridae	6.128	58.8	land plants	 Unknown:NC_003849.1/Z21647.1	5	5	1993/06/01	2018/08/13	Complete Genome
Cucurbit aphid-borne yellows virus	91753		0	Other	Luteoviridae	5.669	50.1	land plants	 Unknown:NC_003688.1/X76931.1	7	7	1994/01/13	2018/08/13	Complete Genome
Flock House virus	12287		0	Other	Nodaviridae	4.507	48.5796	invertebrates	 RNA 2:NC_004144.1/X15959.1;  RNA 1:NC_004146.1/X77156.1	3	4	1989/11/23	2018/08/13	Complete Genome
Pseudomonas phage PP7	12023		0	Other	Leviviridae	3.588	54.2	bacteria	 Unknown:NC_001628.1/X80191.1	4	4	1994/07/28	2018/08/13	Complete Genome
Carnation Italian ringspot virus	39443		0	Other	Tombusviridae	4.763	48.2	land plants	 Unknown:NC_003500.3/X85215.3	5	5	1995/03/28	2018/08/13	Complete Genome
Cocksfoot mottle virus	40979		0	Other	Solemoviridae	4.082	53.4	land plants	 Unknown:NC_002618.2/Z48630.1	5	5	1995/06/29	2018/08/13	Complete Genome
Beet mild yellowing virus	156690		0	Other	Luteoviridae	5.722	48.1	land plants	 Unknown:NC_003491.1/X83110.1	6	6	1995/08/18	2018/08/13	Complete Genome
Cherry virus A	42882		0	Other	Betaflexiviridae	7.383	39.4	land plants	 Unknown:NC_003689.1/X82547.1	2	2	1995/10/03	2018/08/13	Complete Genome
Oat chlorotic stunt virus	146762		0	Other	Tombusviridae	4.114	50.5	land plants	 Unknown:NC_003633.1/X83964.1	4	4	1995/10/24	2018/08/13	Complete Genome
Leek white stripe virus	45224		0	Other	Tombusviridae	3.662	44.9	-	 Unknown:NC_001822.1/X94560.1	5	5	1996/01/17	2018/08/13	Complete Genome
Grapevine virus B	35289		0	Other	Betaflexiviridae	7.599	46.5	land plants	 Unknown:NC_003602.1/X75448.1	5	5	1994/05/17	2018/08/13	Complete Genome
Olive latent virus 1	47669		0	Other	Tombusviridae	3.699	48	land plants	 Unknown:NC_001721.1/X85989.1	5	5	1996/05/17	2018/08/13	Complete Genome
Carrot mottle mimic virus	47736		0	Other	Tombusviridae	4.201	52.6	land plants	 Unknown:NC_001726.1/U57305.1	4	4	1996/06/12	2018/08/13	Complete Genome
Grapevine virus A	35288		0	Other	Betaflexiviridae	7.351	49.1	land plants	 Unknown:NC_003604.2/X75433.2	5	5	1994/05/17	2018/08/13	Complete Genome
European brown hare syndrome virus	33756		0	Other	Caliciviridae	7.442	49.3	vertebrates	 Unknown:NC_002615.1/Z69620.1	2	2	1996/09/17	2018/08/13	Complete Genome
Bovine viral diarrhea virus 2	54315		0	Other	Flaviviridae	12.513	45.4	human,vertebrates	NC_039237.1/U18059.1	1	1	1995/06/02	2018/08/24	Complete Genome
Chikungunya virus	37124		0	Other	Togaviridae	11.826	50	human,invertebrates,vertebrates	 Unknown:NC_004162.2/AF369024.2	2	2	2002/09/06	2018/10/29	Complete Genome
Strawberry mild yellow edge virus	12187		0	Other	Alphaflexiviridae	5.966	50.8	land plants	 Unknown:NC_003794.1/D12517.1	6	6	1993/04/29	2018/08/13	Complete Genome
Physalis mottle virus	72539		0	Other	Tymoviridae	6.673	53.7	land plants	 Unknown:NC_003634.1/Y16104.1	3	3	1998/08/01	2018/08/13	Complete Genome
Beet virus Q	71972		0	Other	Virgaviridae	11.445	41.7302	land plants	 RNA 1:NC_003510.1/AJ223596.1;  RNA 2:NC_003511.1/AJ223597.1;  RNA 3:NC_003512.1/AJ223598.1	9	9	1998/09/04	2018/08/13	Complete Genome
Rinderpest virus (strain Kabete O)	11242		0	Other	Paramyxoviridae	15.882	48	vertebrates	 Unknown:NC_006296.2/X98291.3	7	7	1996/06/05	2018/08/13	Complete Genome
Brome mosaic virus	12302		0	Other	Bromoviridae	8.21	46.5076	land plants	 RNA 1:NC_002026.1/X02380.1;  RNA 3:NC_002028.2/J02042.1;  RNA 2:NC_002027.1/X01678.1	4	4	1983/07/13	2018/08/13	Complete Genome
Teschovirus A	118140		0	Other	Picornaviridae	7.117	44.8	vertebrates	 Unknown:NC_003985.1/AJ011380.1	1	1	1999/04/05	2018/08/13	Complete Genome
Oat golden stripe virus	45103		0	Other	Virgaviridae	10.343	44.1312	land plants	 RNA 1:NC_002358.1/AJ132578.1;  RNA 2:NC_002357.1/AJ132579.1	6	6	1999/10/08	2018/08/13	Complete Genome
Japanese iris necrotic ring virus	77344		0	Other	Tombusviridae	4.014	51.5	land plants	 Unknown:NC_002187.1/D86123.1	6	6	2000/03/17	2018/08/13	Complete Genome
Mamastrovirus 13	1239577		0	Other	Astroviridae	6.44	48.9	vertebrates	 Unknown:NC_002469.1/Y15937.2	2	3	1997/12/19	2018/08/13	Complete Genome
Sorghum mosaic virus	32619		0	Other	Potyviridae	9.624	39.3	land plants	NC_004035.1/AJ310197.1	2	2	2002/02/06	2018/08/13	Complete Genome
Maize chlorotic mottle virus	12138		0	Other	Tombusviridae	4.437	50.2	land plants	 Unknown:NC_003627.1/X14736.2	5	7	1989/07/06	2018/08/13	Complete Genome
Yokose virus	64294		0	Other	Flaviviridae	10.857	47	vertebrates	 Unknown:NC_005039.1/AB114858.1	1	1	2003/07/17	2018/08/13	Complete Genome
Apple stem grooving virus	28347		0	Other	Betaflexiviridae	6.495	41.4	land plants	 Unknown:NC_001749.2/D14995.2	2	2	1993/05/26	2018/08/13	Complete Genome
Dendrolimus punctatus virus	272751		0	Other	Alphatetraviridae	7.982	56.7945	-	 RNA 1:NC_005898.1/AY594352.1;  RNA 2:NC_005899.1/AY594353.1	3	3	2004/05/22	2018/08/13	Complete Genome
Varroa destructor virus 1	232800		0	Other	Iflaviridae	10.112	38.6	invertebrates	 Unknown:NC_006494.1/AY251269.2	1	1	2003/06/06	2018/08/13	Complete Genome
Fragaria chiloensis latent virus	255238		0	Other	Bromoviridae	8.485	42.3393	land plants	 RNA 1:NC_006566.1/AY682102.1;  RNA 2:NC_006567.1/AY707771.1;  RNA 3:NC_006568.1/AY707772.1	6	6	2004/11/02	2018/08/13	Complete Genome
Calicivirus isolate TCG	243550		0	Other	Caliciviridae	7.453	56.2	vertebrates	 Unknown:NC_006875.1/AB117797.2	2	2	2004/02/21	2018/08/13	Complete Genome
Streptococcus virus DT1	90410		0	Other	Siphoviridae	34.815	39.1	bacteria	 Unknown:NC_002072.2/AF085222.2	45	45	1999/03/29	2020/12/20	Complete Genome
Pepino mosaic virus	112229		0	Other	Alphaflexiviridae	6.45	40.9	land plants	 Unknown:NC_004067.1/AF484251.1	5	5	2002/07/08	2018/08/13	Complete Genome
Pseudomonas virus F116	280701		0	Other	Podoviridae	65.195	63.2	bacteria	 Unknown:NC_006552.1/AY625898.1	70	70	2004/12/01	2020/12/20	Complete Genome
Mamestra configurata nucleopolyhedrovirus B	204440		0	Other	Baculoviridae	158.482	40	invertebrates	 Unknown:NC_004117.1/AY126275.1	168	168	2002/08/25	2018/08/13	Complete Genome
Macrobrachium rosenbergii nodavirus	222557		0	Other	Nodaviridae	4.377	43.1531	invertebrates	 RNA 1:NC_005094.1/AY222839.1;  RNA 2:NC_005095.1/AY222840.1	3	3	2003/08/30	2018/08/13	Complete Genome
Sri Lankan cassava mosaic virus-[Colombo]	223328		0	Other	Geminiviridae	5.466	44.7649	land plants	 DNA A:NC_003861.1/AJ314737.1;  DNA B:NC_003862.1/AJ314738.1	8	8	2002/01/04	2018/08/13	Complete Genome
Cherry rasp leaf virus	202566		0	Other	Secoviridae	10.349	43.3641	land plants	 RNA 1:NC_006271.1/AJ621357.1;  RNA 2:NC_006272.1/AJ621358.1	7	2	2004/07/19	2018/08/13	Complete Genome
Choristoneura fumiferana multiple nucleopolyhedrovirus	208973		0	Other	Baculoviridae	129.593	50.1	invertebrates	 Unknown:NC_004778.3/AF512031.3	146	146	2003/05/01	2018/08/13	Complete Genome
Prochlorococcus phage P-SSM4	268747		0	Other	Myoviridae	178.249	36.7	bacteria	 Unknown:NC_006884.2/AY940168.2	221	221	2005/03/22	2020/12/20	Complete Genome
Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660		0	Other	Baculoviridae	131.16	45.8	invertebrates	 Unknown:NC_005137.2/AY327402.2	149	149	2003/10/08	2018/08/13	Complete Genome
Human coronavirus HKU1	290028		0	Other	Coronaviridae	29.926	32.1	human	 Unknown:NC_006577.2/AY597011.2	8	9	2004/12/21	2020/11/20	Complete Genome
Kyuri green mottle mosaic virus	111970		0	Other	Virgaviridae	6.514	45.3	land plants	 Unknown:NC_003610.1/AJ295948.1	3	4	2001/07/27	2018/08/13	Complete Genome
Escherichia phage RB69	12353		0	Other	Myoviridae	167.56	37.7	bacteria	 Unknown:NC_004928.1/AY303349.1	275	273	2003/06/30	2021/01/23	Complete Genome
Monkeypox virus Zaire-96-I-16	619591		0	Other	Poxviridae	196.858	33.1	human,vertebrates	 Unknown:NC_003310.1/AF380138.1	191	191	2001/12/12	2020/12/20	Complete Genome
Escherichia virus T5	10726		0	Other	Demerecviridae	121.75	39.3	bacteria	 Unknown:NC_005859.1/AY543070.1	195	162	2004/04/14	2020/12/20	Complete Genome
Rabies lyssavirus	11292		0	Other	Rhabdoviridae	11.932	45.1	human,vertebrates	 Unknown:NC_001542.1/M13215.1	5	5	1989/09/15	2018/08/13	Complete Genome
Reticuloendotheliosis virus	11636		0	Other	Retroviridae	8.295	52.7	vertebrates	 Unknown:NC_006934.1/AY842951.1	3	3	2005/01/23	2018/08/13	Complete Genome
Tobacco necrosis virus A	12055		0	Other	Tombusviridae	3.684	48.9	land plants	 Unknown:NC_001777.1/M33002.1	5	5	1993/07/26	2018/08/13	Complete Genome
Tomato bushy stunt virus	12145		0	Other	Tombusviridae	4.776	48.1	land plants	 Unknown:NC_001554.1/M21958.1	5	5	1993/08/03	2018/08/13	Complete Genome
Pepper mild mottle virus	12239		0	Other	Virgaviridae	6.357	42.3	land plants	 Unknown:NC_003630.1/M81413.1	4	4	1993/08/03	2018/08/13	Complete Genome
Karshi virus	64287		0	Other	Flaviviridae	10.653	54.4	invertebrates	 Unknown:AY863002.1	-	1	2005/01/24	2005/01/24	Complete Genome
Hydrangea ringspot virus	112228		0	Other	Alphaflexiviridae	6.185	58	land plants	 Unknown:NC_006943.1/AY707100.1	6	6	2005/03/01	2018/08/13	Complete Genome
Cucumber vein yellowing virus	137475		0	Other	Potyviridae	9.751	41.4	land plants	 Unknown:NC_006941.1/AY578085.1	2	2	2005/03/17	2018/08/13	Complete Genome
Fusarium graminearum dsRNA mycovirus-1	194397		0	dsRNA viruses	unclassified	6.621	51.5	fungi	 Unknown:NC_006937.2/AY533037.2	4	4	2005/02/01	2018/08/13	Complete Genome
Strawberry latent ringspot virus satellite RNA	195062		0	Satellites	unclassified	1.118	50.7	-	 Unknown:NC_003848.1/X69826.1	1	1	1993/06/24	2018/08/13	Complete Genome
Lactobacillus virus phiJL1	235201		0	Other	Siphoviridae	36.674	39.4	bacteria	 Unknown:NC_006936.1/AY236756.1	46	46	2005/03/28	2020/12/20	Complete Genome
Cowpea severe leaf curl-associated DNA beta	292627		0	Other	Tolecusatellitidae	1.379	40	land plants	 Unknown:NC_006952.1/AY728263.1	1	1	2005/02/22	2018/08/13	Complete Genome
Salmonella phage SS3e	293644		0	Other	Siphoviridae	40.793	50.1	bacteria	 Unknown:NC_006940.2/AY730274.2	58	58	2005/01/12	2020/12/20	Complete Genome
Olive mild mosaic virus	295090		0	Other	Tombusviridae	3.683	48.2	land plants	 Unknown:NC_006939.1/AY616760.1	6	6	2005/03/30	2018/08/13	Complete Genome
Mint virus X	301865		0	Other	Alphaflexiviridae	5.914	59.2	land plants	 Unknown:NC_006948.1/AY789138.1	5	5	2005/02/01	2018/08/13	Complete Genome
Begomovirus-associated DNA-II	302069		0	Satellites	unclassified	1.032	44.4	land plants	 Unknown:NC_006956.1/AY836366.1	-	-	2005/03/02	2018/08/13	Complete Genome
Begomovirus-associated DNA-III	302070		0	Satellites	unclassified	1.209	40.9	land plants	 Unknown:NC_006957.1/AY836367.1	-	-	2005/03/02	2018/08/13	Complete Genome
Taro vein chlorosis nucleorhabdovirus	303300		0	Other	Rhabdoviridae	12.02	46.1	land plants	 Unknown:NC_006942.1/AY674964.1	7	6	2005/01/26	2018/08/13	Complete Genome
Bacillus phage GIL16c	307240		0	Other	Tectiviridae	14.844	40.1	bacteria	 Unknown:NC_006945.1/AY701338.1	31	31	2005/01/10	2020/12/20	Complete Genome
Blackberry yellow vein-associated virus	404196		0	Other	Closteroviridae	15.716	38.2963	land plants	 RNA 1:NC_006962.2/AY776334.2;  RNA 2:NC_006963.2/AY776335.2	10	11	2005/01/03	2018/08/13	Complete Genome
Pleurotus ostreatus virus 1	674983		0	Other	Partitiviridae	4.519	49.7282	fungi	 RNA 2:NC_006960.1/AY533036.1;  RNA 1:NC_006961.1/AY533038.1	2	2	2005/02/01	2018/08/13	Complete Genome
Citrus sudden death-associated virus	312008		0	Other	Tymoviridae	6.82	57.3	land plants	 Unknown:NC_006950.1/AY884005.1	3	3	2005/02/16	2018/08/13	Complete Genome
Erethizon dorsatum papillomavirus 1	291590		0	Other	Papillomaviridae	7.428	44.8	vertebrates	 Unknown:NC_006951.1/AY684126.1	7	7	2005/01/10	2018/08/13	Complete Genome
Apricot pseudo-chlorotic leaf spot virus	307677		0	Other	Betaflexiviridae	7.494	40.8	land plants	 Unknown:NC_006946.1/AY713379.1	3	3	2005/01/18	2018/08/13	Complete Genome
Listonella phage phiHSIC	310539		0	Other	Siphoviridae	37.966	44	bacteria	 Unknown:NC_006953.1/AY772740.1	47	47	2005/02/01	2020/12/20	Complete Genome
Enterobacteria phage ES18	101570		0	Other	Siphoviridae	46.9	48.6	bacteria	 Unknown:NC_006949.1/AY736146.1	79	79	2005/02/05	2020/12/20	Complete Genome
African cassava mosaic virus	10817		0	Other	Geminiviridae	5.503	42.125	land plants	 DNA A:NC_001467.1/J02057.1;  DNA B:NC_001468.1/J02058.1	-	-	1985/07/01	2018/08/13	Complete Genome
East African cassava mosaic virus	62079		0	Other	Geminiviridae	5.576	44.5545	land plants	 DNA A:NC_004674.1/AF126806.1;  DNA B:NC_004676.1/AF126807.1	9	9	2000/03/12	2018/08/13	Complete Genome
Tomato yellow leaf curl Thailand virus	85752		0	Other	Geminiviridae	5.488	40.7023	land plants	 DNA A:NC_000869.1/AF141922.1;  DNA B:NC_000870.1/AF141897.1	10	10	1999/06/16	2018/08/13	Complete Genome
East African cassava mosaic Cameroon virus	223262		0	Other	Geminiviridae	5.543	44.5561	land plants	 DNA A:NC_004625.1/AF112354.1;  DNA B:NC_004630.1/AF112355.1	8	8	1999/06/27	2018/08/13	Complete Genome
Murid betaherpesvirus 1	10366		0	Other	Herpesviridae	230.408	58.7	vertebrates	GU305914.1	158	158	2010/03/01	2010/03/01	Complete Genome
Banna virus strain JKT-6423	649604		0	Other	Reoviridae	20.682	39.3541	human,invertebrates,vertebrates	 12:NC_004198.1/AF019908.1;  11:NC_004200.1/AF052014.1;  10:NC_004201.1/AF052015.1;  9:NC_004202.1/AF052016.1;  8:NC_004203.1/AF052017.1;  7:NC_004204.1/AF052018.1;  1:NC_004211.1/AF133430.1;  2:NC_004217.1/AF134514.1;  3:NC_004218.1/AF134515.1;  4:NC_004219.1/AF134516.1;  5:NC_004220.1/AF134517.1;  6:NC_004221.1/AF134518.1	12	12	1998/11/06	2018/08/13	Complete Genome
Bean common mosaic virus	12196		0	Other	Potyviridae	9.992	42.2	land plants	NC_003397.1/AJ312437.1	2	2	2002/02/06	2018/08/13	Complete Genome
Leek yellow stripe virus	42004		0	Other	Potyviridae	10.142	42.5	land plants	NC_004011.1/AJ307057.1	2	2	2002/02/05	2018/08/13	Complete Genome
Pothos latent virus	44562		0	Other	Tombusviridae	4.415	47.1	land plants	 Unknown:NC_000939.2/X87115.1	5	5	1995/12/13	2018/08/13	Complete Genome
Omikronpapillomavirus 1	82676		0	Other	Papillomaviridae	7.879	46.4	vertebrates	 Unknown:NC_003348.1/AJ238373.1	8	8	2002/01/04	2018/08/13	Complete Genome
Grapevine fleck virus	103722		0	Other	Tymoviridae	7.564	66.2	land plants	 Unknown:NC_003347.1/AJ309022.1	4	4	2002/01/04	2018/08/13	Complete Genome
Zucchini green mottle mosaic virus	111418		0	Other	Virgaviridae	6.513	44.1	land plants	 Unknown:NC_003878.1/AJ295949.1	3	4	2001/10/29	2018/08/13	Complete Genome
Scallion mosaic virus	157018		0	Other	Potyviridae	9.324	42.3	land plants	NC_003399.1/AJ316084.1	2	2	2002/02/06	2018/08/13	Complete Genome
Sulfolobus islandicus rod-shaped virus 2	157899		0	Other	Rudiviridae	35.45	25.2	archaea	 Unknown:NC_004086.1/AJ344259.1	54	54	2001/11/29	2020/12/20	Complete Genome
Tomato yellow leaf curl virus	10832		0	Other	Geminiviridae	2.781	41	land plants	 DNA A:NC_004005.1/AJ489258.1	6	6	2002/06/07	2018/08/13	Complete Genome
Ageratum enation virus	188333		0	Other	Geminiviridae	2.746	42.2	land plants	 DNA A:NC_003434.1/AJ437618.1	6	6	2002/03/04	2018/08/13	Complete Genome
Chayote yellow mosaic virus	222450		0	Other	Geminiviridae	2.787	47.8	land plants	 DNA A:NC_004618.1/AJ223191.1	5	5	1998/01/05	2018/08/13	Complete Genome
Squash leaf curl Yunnan virus	222474		0	Other	Geminiviridae	2.714	41.9	land plants	 DNA A:NC_004651.1/AJ420319.1	6	6	2002/01/04	2018/08/13	Complete Genome
Croton yellow vein mosaic virus	207697		0	Other	Geminiviridae	2.757	42.8	land plants	 DNA A:NC_004300.1/AJ507777.1	7	7	2002/09/18	2018/08/13	Complete Genome
Variola virus	10255		0	Other	Poxviridae	185.578	32.7	human	 Unknown:NC_001611.1/X69198.1	197	197	1993/05/04	2020/12/20	Complete Genome
Human alphaherpesvirus 3	10335		0	Other	Herpesviridae	124.884	46	human	 Unknown:NC_001348.1/X04370.1	73	73	1987/09/19	2018/08/13	Complete Genome
Marburg marburgvirus	11269		0	Other	Filoviridae	19.111	38.3	human,vertebrates	 Unknown:NC_001608.3/DQ217792.1	7	7	1994/01/26	2018/08/13	Complete Genome
Odontoglossum ringspot virus	12238		0	Other	Virgaviridae	6.618	39.5	land plants	 Unknown:NC_001728.1/X82130.1	5	5	1994/10/13	2018/08/13	Complete Genome
Bacillus virus GA1	12345		0	Other	Podoviridae	21.129	34.7	bacteria	 Unknown:NC_002649.1/X96987.2	52	35	1996/09/28	2020/12/20	Complete Genome
Equine rhinitis A virus	47000		0	Other	Picornaviridae	7.782	46.5	vertebrates	NC_039209.1/DQ272578.1	1	1	2005/11/18	2018/08/24	Complete Genome
Strawberry vein banding virus	47903		0	Other	Caulimoviridae	7.876	39.1	land plants	 Unknown:NC_001725.1/X97304.1	6	6	1996/06/01	2018/08/13	Complete Genome
Hibiscus chlorotic ringspot virus	53181		0	Other	Tombusviridae	3.911	49.2	land plants	 Unknown:NC_003608.1/X86448.2	6	7	2000/03/17	2018/08/13	Complete Genome
Galinsoga mosaic virus	60714		0	Other	Tombusviridae	3.803	48.1	-	 Unknown:NC_001818.1/Y13463.1	5	5	1997/06/20	2018/08/13	Complete Genome
Mint virus 1	300740		0	Other	Closteroviridae	15.45	46.1	land plants	 Unknown:NC_006944.1/AY792620.1	9	9	2005/01/25	2018/08/14	Complete Genome
Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001]	996311		0	Other	Geminiviridae	2.777	44	land plants	 DNA A:NC_006874.1/AJ865338.1	6	6	2005/03/01	2018/08/13	Complete Genome
Tomato leaf curl Mayotte virus	302100		0	Other	Geminiviridae	2.768	44.9	land plants	 DNA A:NC_006876.1/AJ865340.1	6	6	2005/03/01	2018/08/13	Complete Genome
Avian endogenous retrovirus EAV-HP	93465		0	Other	Retroviridae	4.302	53.1	vertebrates	 Unknown:NC_005947.1/AJ238124.1	1	1	1999/10/11	2018/08/13	Complete Genome
Pelargonium necrotic spot virus	255587		0	Other	Tombusviridae	4.744	48.7	land plants	 Unknown:NC_005285.1/AJ607402.1	4	5	2003/11/20	2018/08/13	Complete Genome
Dolphin morbillivirus	37131		0	Other	Paramyxoviridae	15.702	42.6	vertebrates	 Unknown:NC_005283.1/AJ608288.1	6	7	2003/11/21	2018/08/13	Complete Genome
Maize fine streak nucleorhabdovirus	209854		0	Other	Rhabdoviridae	13.782	40.5	-	 Unknown:NC_005974.1/AY618417.1	7	7	2004/07/05	2018/08/13	Complete Genome
Ageratum yellow vein China virus - [Hn2]	222078		0	Other	Geminiviridae	2.768	40.6	land plants	 DNA A:NC_004090.1/AJ495813.1	6	6	2002/07/30	2018/08/13	Complete Genome
Human alphaherpesvirus 1	10298		0	Other	Herpesviridae	152.222	68.3	human,vertebrates	 Unknown:NC_001806.2/JN555585.1	79	77	1990/04/03	2018/08/13	Complete Genome
Acheta domestica densovirus	185639		0	Other	Parvoviridae	5.425	40.1	invertebrates	HQ827781.1	-	5	2011/03/23	2011/03/23	Complete Genome
