#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Olsenella profusa	138595	PRJNA377666	377666	Terrabacteria group	Actinobacteria	2.07265	68.3	-	JACSNQ01	56	1798	1715	2021/02/16	2021/02/23	Contig	Veterinary Research Institute	SAMN14913620	GCA_016900315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/900/315/GCA_016900315.1_ASM1690031v1	33558560	An794
Joostella marina DSM 19592	926559	PRJNA65069	65069	FCB group	Bacteroidetes/Chlorobi group	4.50824	33.6	-	AJUG01	2	3926	3790	2012/04/27	2020/05/03	Scaffold	JGI	SAMN02261416	GCA_000260115.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/115/GCA_000260115.1_ASM26011v1	-	DSM 19592
Prevotella stercorea DSM 18206	1002367	PRJNA65131	65131	FCB group	Bacteroidetes/Chlorobi group	3.09732	49	-	AFZZ01	148	2659	2516	2011/11/18	2020/06/02	Scaffold	Washington University Genome Center	SAMN02299453	GCA_000235885.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/885/GCA_000235885.1_ASM23588v1	-	DSM 18206
Streptomyces cattleya NRRL 8057 = DSM 46488	1003195	PRJNA65103	65103	Terrabacteria group	Actinobacteria	8.09255	72.9894	chromosome:NC_016111.1/FQ859185.1; plasmid pSCAT:NC_016113.1/FQ859184.1	-	2	7172	6959	2011/06/23	2020/12/13	Complete Genome	CEA/Genoscope	SAMEA3138404	GCA_000237305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/305/GCA_000237305.1_ASM23730v1	21868806	NRRL 8057
Methanoregula formicica SMSP	593750	PRJNA63567	63567	Euryarchaeota	Stenosarchaea group	2.82086	55.2	chromosome:NC_019943.1/CP003167.1	-	1	2907	2821	2012/12/21	2021/01/05	Complete Genome	DOE Joint Genome Institute	SAMN02232038	GCA_000327485.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/485/GCA_000327485.1_ASM32748v1	25189582	SMSP
Metallosphaera yellowstonensis MK1	671065	PRJNA64481	64481	TACK group	Crenarchaeota	2.81745	47.7	-	AHKJ01	21	3234	2754	2012/01/20	2020/06/02	Scaffold	JGI	SAMN02261413	GCA_000243315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/315/GCA_000243315.1_ASM24331v1	-	MK1
Trabulsiella guamensis ATCC 49490	1005994	PRJNA65507	65507	Proteobacteria	Gammaproteobacteria	4.92975	53.6	-	JMTB01	278	4821	4574	2014/07/28	2020/05/08	Contig	UW-GEL	SAMN02743388	GCA_000734965.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/965/GCA_000734965.1_ASM73496v1	-	ATCC 49490
Tatumella ptyseos ATCC 33301	1005995	PRJNA207548	207548	Proteobacteria	Gammaproteobacteria	3.53905	51.6	-	ATMJ01	85	3320	3166	2013/07/23	2020/06/13	Contig	Public Health Agency of Canada	SAMN02199042	GCA_000439895.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/439/895/GCA_000439895.1_atcc_33301_v1	-	ATCC 33301
Raoultella planticola	575	PRJNA231221	231221	Proteobacteria	Gammaproteobacteria	5.82393	55.6325	chromosome:NZ_CP026047.1/CP026047.1; plasmid unnamed1:NZ_CP026048.1/CP026048.1; plasmid unnamed2:NZ_CP026049.1/CP026049.1	-	3	5491	5282	2018/01/18	2020/09/25	Complete Genome	US Food and Drug Administration 	SAMN02934513	GCA_000783935.2	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/935/GCA_000783935.2_ASM78393v2	-	FDAARGOS_64
Leminorella grimontii ATCC 33999 = DSM 5078	1005999	PRJNA65515	65515	Proteobacteria	Gammaproteobacteria	4.23561	53.9	-	JMPN01	57	3836	3729	2014/07/28	2020/05/08	Contig	UW-GEL	SAMN02743266	GCA_000735425.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/425/GCA_000735425.1_GLGR_DRAFTv1	-	ATCC 33999
Buttiauxella agrestis	82977	PRJDB9774	629916	Proteobacteria	Gammaproteobacteria	4.56625	50.7	chromosome:NZ_AP023184.1/AP023184.1	-	1	4234	4093	2020/05/27	2020/12/15	Complete Genome	Research Institute of Green Science and Technology, Shizuoka University	SAMD00224198	GCA_013234275.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/234/275/GCA_013234275.1_ASM1323427v1	-	DSM 9389
Calidithermus chliarophilus DSM 9957	926560	PRJNA66009	66009	Terrabacteria group	Deinococcus-Thermus	4.68896	68.9	-	AUQW01	9	4603	4342	2013/07/15	2020/07/16	Scaffold	JGI	SAMN00773126	GCA_000430045.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/045/GCA_000430045.1_ASM43004v1	-	DSM 9957
Kluyvera ascorbata	51288	PRJEB6403	251923	Proteobacteria	Gammaproteobacteria	5.12662	54.1	-	UGNM01	5	4909	4680	2018/07/30	2020/08/05	Contig	Wellcome Sanger Institute	SAMEA103980416	GCA_900452265.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/452/265/GCA_900452265.1_54949_C01	-	NCTC9737
Desulfosporosinus orientis DSM 765	768706	PRJNA66191	66191	Terrabacteria group	Firmicutes	5.86308	42.9	chromosome:NC_016584.1/CP003108.1	-	1	5528	5275	2011/11/16	2021/02/07	Complete Genome	JGI	SAMN02261424	GCA_000235605.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/605/GCA_000235605.1_ASM23560v1	23105050	DSM 765
Dehalobacter restrictus	55583	PRJNA376155	376155	Terrabacteria group	Firmicutes	3.04943	44.5	chromosome:NZ_CP046996.1/CP046996.1	-	1	2979	2838	2019/12/24	2021/03/20	Complete Genome	University of Toronto	SAMN13561677	GCA_009796305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/796/305/GCA_009796305.1_ASM979630v1	-	12DCA
Endozoicomonas montiporae CL-33	570277	PRJNA66389	66389	Proteobacteria	Gammaproteobacteria	5.43026	48.5	chromosome:NZ_CP013251.1/CP013251.1	-	1	4994	4727	2016/03/08	2020/08/30	Chromosome	Biodiversity Research Center, Academia Sinica, Taiwan	SAMN04155633	GCA_001583435.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/583/435/GCA_001583435.1_ASM158343v1	27014194	CL-33
Candidatus Poribacteria bacterium WGA-4E	857041	PRJNA66473	66473	Bacteria incertae sedis	Bacteria candidate phyla	3.64767	49.5	-	AQTV01	521	-	-	2013/04/19	2015/07/29	Contig	DOE Joint Genome Institute	SAMN02256499	GCA_000372285.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/285/GCA_000372285.1_ASM37228v1	23842652	WGA-4E
Candidatus Poribacteria bacterium WGA-4G	857042	PRJNA66475	66475	Bacteria incertae sedis	Bacteria candidate phyla	0.189191	47.3	-	AQPC01	15	-	-	2013/04/15	2015/07/29	Contig	DOE Joint Genome Institute	SAMN02256513	GCA_000364585.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/585/GCA_000364585.1_ASM36458v1	23842652	WGA-4G
Candidatus Poribacteria bacterium WGA-4C	1027271	PRJNA66477	66477	Bacteria incertae sedis	Bacteria candidate phyla	1.62966	40.9	-	APGO01	276	-	-	2013/05/22	2015/07/29	Contig	LGC genomics	SAMN02472028	GCA_000401015.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/401/015/GCA_000401015.1_WGA-4C	23842652	WGA-4C
Saccharomonospora saliphila YIM 90502	882085	PRJNA66541	66541	Terrabacteria group	Actinobacteria	4.03089	70.6	-	AICY01	145	4084	3630	2013/04/25	2020/12/16	Scaffold	JGI	SAMN02261268	GCA_000383795.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/795/GCA_000383795.1_ASM38379v1	-	YIM 90502
Neorhizobium galegae bv. orientalis str. HAMBI 540	1028800	PRJEB1950	212248	Proteobacteria	Alphaproteobacteria	6.45503	61.248	chromosome I:NZ_HG938353.1/HG938353.1; plasmid II:NZ_HG938354.1/HG938354.1	-	2	6256	6045	2014/06/25	2021/02/01	Complete Genome	University of Helsinki	SAMEA3139073	GCA_000731315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/315/GCA_000731315.1_RG540_Ch_pA	24948393	HAMBI 540
Thaumarchaeota archaeon SCGC AAA007-O23	913333	PRJNA66857	66857	TACK group	Thaumarchaeota	1.10444	35.7	-	ARWO01	32	-	-	2013/05/29	2015/07/28	Contig	JGI	SAMN02440520	GCA_000402075.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/402/075/GCA_000402075.1_ASM40207v1	23851394	SCGC AAA007-O23
Marine Group III euryarchaeote SCGC AAA007-O11	913335	PRJNA66861	66861	Candidatus Thermoplasmatota	Candidatus Poseidoniia	0.233168	47	-	AQTW01	33	-	-	2013/04/19	2015/07/29	Contig	JGI	SAMN02261270	GCA_000372505.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/505/GCA_000372505.1_ASM37250v1	-	SCGC AAA007-O11
Marine Group III euryarchaeote SCGC AAA288-E19	913336	PRJNA66863	66863	Candidatus Thermoplasmatota	Candidatus Poseidoniia	0.474487	50	-	AQTX01	102	-	-	2013/04/25	2015/07/29	Contig	JGI	SAMN02261271	GCA_000382725.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/382/725/GCA_000382725.2_ASM38272v2	-	SCGC AAA288-E19
Marinimicrobia bacterium SCGC AAA003-E22	699266	PRJNA66867	66867	FCB group	Candidatus Marinimicrobia	0.888773	37	-	ASPI01	53	-	-	2013/06/03	2015/07/28	Contig	JGI	SAMN02441258	GCA_000405465.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/405/465/GCA_000405465.1_ASM40546v1	23851394	SCGC AAA003-E22
Marinimicrobia bacterium SCGC AAA003-L08	939844	PRJNA66869	66869	FCB group	Candidatus Marinimicrobia	1.26563	30.3	-	ASPJ01	84	-	-	2013/06/03	2015/07/28	Contig	JGI	SAMN02440556	GCA_000405805.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/405/805/GCA_000405805.1_ASM40580v1	23851394	SCGC AAA003-L08
SAR202 cluster bacterium SCGC AAA240-N13	913328	PRJNA66871	66871	Terrabacteria group	Chloroflexi	1.45623	55	-	AQTZ01	215	-	-	2013/04/19	2015/07/29	Contig	JGI	SAMN02261273	GCA_000372165.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/165/GCA_000372165.1_ASM37216v1	-	SCGC AAA240-N13
Enterococcus durans	53345	PRJNA609650	609650	Terrabacteria group	Firmicutes	3.02346	37.8	-	JAAMRZ01	26	2787	2652	2020/11/04	2020/11/05	Contig	University of KwaZulu-Natal (UKZN), South Africa	SAMN14257485	GCA_015230245.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/230/245/GCA_015230245.1_ASM1523024v1	-	8L1-82
Campylobacter insulaenigrae NCTC 12927	1031564	PRJNA66785	66785	Proteobacteria	delta/epsilon subdivisions	1.46508	28.2	chromosome:NZ_CP007770.1/CP007770.1	-	1	1525	1444	2015/01/07	2021/01/17	Complete Genome	USDA, ARS, WRRC	SAMN03248541	GCA_000816185.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/185/GCA_000816185.1_ASM81618v1	25381664	NCTC 12927
Campylobacter avium LMG 24591	522484	PRJNA66787	66787	Proteobacteria	delta/epsilon subdivisions	1.73863	34.2	chromosome:NZ_CP022347.1/CP022347.1	-	1	1775	1699	2017/08/01	2020/05/06	Complete Genome	USDA, ARS, WRRC	SAMN03737963	GCA_002238335.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/238/335/GCA_002238335.1_ASM223833v1	-	LMG 24591
Campylobacter helveticus	28898	PRJNA284977	284977	Proteobacteria	delta/epsilon subdivisions	1.87149	34.3399	chromosome:NZ_CP020478.1/CP020478.1; plasmid pHELV-1:NZ_CP020479.1/CP020479.1; plasmid pHELV-2:NZ_CP020480.1/CP020480.1; plasmid pHELV-3:NZ_CP020481.1/CP020481.1; plasmid pHELV-4:NZ_CP020482.1/CP020482.1; plasmid pHELV-5:NZ_CP020483.1/CP020483.1	-	6	2012	1892	2017/04/06	2020/04/06	Complete Genome	USDA, ARS, WRRC	SAMN03737972	GCA_002080395.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/080/395/GCA_002080395.1_ASM208039v1	-	ATCC 51209
Campylobacter cuniculorum DSM 23162 = LMG 24588	1121267	PRJNA66793	66793	Proteobacteria	delta/epsilon subdivisions	1.93777	31.1968	chromosome:NZ_CP020867.1/CP020867.1; plasmid pCUN1:NZ_CP020868.1/CP020868.1; plasmid pCUN2:NZ_CP020869.1/CP020869.1	-	3	1904	1816	2017/04/21	2020/07/16	Complete Genome	USDA, ARS, WRRC	SAMN03737969	GCA_002104335.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/104/335/GCA_002104335.1_ASM210433v1	-	LMG 24588
Campylobacter hyointestinalis subsp. lawsonii	91353	PRJNA633571	633571	Proteobacteria	delta/epsilon subdivisions	1.80815	33.2941	chromosome:NZ_CP053828.1/CP053828.1; plasmid pCHY5:NZ_CP053829.1/CP053829.1	-	2	1871	1791	2020/06/24	2020/07/31	Complete Genome	USDA, ARS, WRRC	SAMN09274393	GCA_013372165.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/165/GCA_013372165.1_ASM1337216v1	-	CHY5
Campylobacter lanienae NCTC 13004	1031753	PRJNA66799	66799	Proteobacteria	delta/epsilon subdivisions	1.59455	34.6	chromosome:NZ_CP015578.1/CP015578.1	-	1	1648	1582	2017/05/15	2021/01/19	Complete Genome	USDA, ARS, WRRC	SAMN03737977	GCA_002139935.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/139/935/GCA_002139935.1_ASM213993v1	28854596	NCTC 13004
Campylobacter sputorum bv. paraureolyticus LMG 11764	1032066	PRJNA66807	66807	Proteobacteria	delta/epsilon subdivisions	1.72502	29.6	chromosome:NZ_CP019684.1/CP019684.1	-	1	1776	1702	2017/07/18	2021/01/19	Complete Genome	USDA, ARS, WRRC	SAMN03737990	GCA_002220755.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/755/GCA_002220755.1_ASM222075v1	28633450	LMG 17589
Campylobacter mucosalis	202	PRJNA633573	633573	Proteobacteria	delta/epsilon subdivisions	1.77348	36.6	chromosome:NZ_CP053831.1/CP053831.1	-	1	1846	1767	2020/06/24	2020/06/25	Complete Genome	USDA, ARS, WRRC	SAMN14886971	GCA_013372205.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/372/205/GCA_013372205.1_ASM1337220v1	-	ATCC 43264
Arcobacter cryaerophilus ATCC 43158	1032070	PRJNA66817	66817	Proteobacteria	delta/epsilon subdivisions	2.10834	27.3605	chromosome:NZ_CP032823.1/CP032823.1; plasmid pACRY43158:NZ_CP032824.1/CP032824.1	-	2	2149	2074	2018/10/16	2020/07/31	Complete Genome	USDA, ARS, WRRC	SAMN03737948	GCA_003660105.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/105/GCA_003660105.1_ASM366010v1	-	ATCC 43158
Malaciobacter molluscorum LMG 25693	870501	PRJNA66821	66821	Proteobacteria	delta/epsilon subdivisions	2.80058	26.2	chromosome:NZ_CP032098.1/CP032098.1	-	1	2788	2701	2018/09/11	2020/12/06	Complete Genome	USDA, ARS, WRRC	SAMN03737954	GCA_003544935.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/935/GCA_003544935.1_ASM354493v1	-	CECT 7696
Malaciobacter mytili LMG 24559	1032238	PRJNA66823	66823	Proteobacteria	delta/epsilon subdivisions	3.0376	26.5046	chromosome:NZ_CP031219.1/CP031219.1; plasmid pAMYT:NZ_CP031220.1/CP031220.1	-	2	3003	2916	2018/07/31	2020/12/06	Complete Genome	USDA, ARS, WRRC	SAMN03737955	GCA_003346775.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/346/775/GCA_003346775.1_ASM334677v1	-	LMG 24559
Arcobacter skirrowii CCUG 10374	1032239	PRJNA66827	66827	Proteobacteria	delta/epsilon subdivisions	1.96985	27.7	chromosome:NZ_CP032099.1/CP032099.1	-	1	2044	1974	2018/09/11	2020/12/25	Complete Genome	USDA, ARS, WRRC	SAMN03737956	GCA_003544835.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/835/GCA_003544835.1_ASM354483v1	-	CCUG 10374
Arcobacter thereius LMG 24486	1032240	PRJNA283692	283692	Proteobacteria	delta/epsilon subdivisions	1.90931	27	-	LLKQ01	1	1969	1901	2016/07/26	2020/04/05	Scaffold	Ghent University	SAMN03654041	GCA_001695395.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/695/395/GCA_001695395.1_ASM169539v1	-	LMG 24486
Arcobacter trophiarum LMG 25534	1032241	PRJNA66831	66831	Proteobacteria	delta/epsilon subdivisions	1.91561	28.2	chromosome:NZ_CP031367.1/CP031367.1	-	1	1974	1905	2018/08/06	2020/07/16	Complete Genome	USDA, ARS, WRRC	SAMN03737959	GCA_003355515.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/355/515/GCA_003355515.1_ASM335551v1	-	LMG 25534
Marine group II euryarchaeote SCGC AAA288-C18	1032475	PRJNA66859	66859	Candidatus Thermoplasmatota	Candidatus Poseidoniia	0.429678	56.8	-	ARPJ01	47	-	-	2013/04/25	2015/07/29	Contig	JGI	SAMN02261269	GCA_000382765.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/382/765/GCA_000382765.1_ASM38276v1	-	SCGC AAA288-C18
actinobacterium SCGC AAA027-L06	913338	PRJNA66877	66877	Terrabacteria group	Actinobacteria	1.16358	41.7	-	AJWB01	75	1282	1244	2012/09/04	2015/07/29	Contig	JGI	SAMN02261425	GCA_000294575.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/575/GCA_000294575.1_ASM29457v1	-	SCGC AAA027-L06
Corynebacterium durum	61592	PRJNA632267	632267	Terrabacteria group	Actinobacteria	2.80002	57.2	-	JACCFR01	1	2583	2496	2020/07/13	2020/07/14	Contig	DOE Joint Genome Institute	SAMN14908451	GCA_013410305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/410/305/GCA_013410305.1_ASM1341030v1	-	DSM 45333
Campylobacter volucris LMG 24379	580033	PRJNA66783	66783	Proteobacteria	delta/epsilon subdivisions	1.51795	28.6	chromosome:NZ_CP007774.1/CP007774.1	-	1	1567	1490	2015/01/07	2021/01/17	Complete Genome	USDA, ARS, WRRC	SAMN03248550	GCA_000816345.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/345/GCA_000816345.1_ASM81634v1	25381664	LMG 24379
Pseudomonas synxantha	47883	PRJNA433211	433211	Proteobacteria	Gammaproteobacteria	6.56233	59.6	chromosome:NZ_CP027756.1/CP027756.1	-	1	6003	5825	2018/11/29	2021/03/06	Complete Genome	Universite de Moncton	SAMN08359174	GCA_003851555.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/851/555/GCA_003851555.1_ASM385155v1	-	R6-28-08
Rhodococcus pyridinivorans	103816	PRJEB16436	349339	Terrabacteria group	Actinobacteria	5.26248	67.8	-	FNRX01	3	4865	4622	2016/10/22	2020/06/21	Contig	DOE - JOINT GENOME INSTITUTE	SAMN04490240	GCA_900105195.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/105/195/GCA_900105195.1_IMG-taxon_2630969012_annotated_assembly	-	DSM 44555
Rhodococcus ruber	1830	PRJNA450724	450724	Terrabacteria group	Actinobacteria	5.36661	70.6	chromosome:NZ_CP029146.1/CP029146.1	-	1	4932	4810	2018/05/03	2021/01/13	Complete Genome	Jiangxi Normal University	SAMN08944468	GCA_003086595.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/595/GCA_003086595.1_ASM308659v1	-	SD3
Flavobacterium columnare	996	PRJNA598450	598450	FCB group	Bacteroidetes/Chlorobi group	3.22128	31.7	chromosome:NZ_CP054494.1/CP054494.1	-	1	2848	2661	2020/10/05	2020/12/25	Complete Genome	University of Jyvaskyla	SAMN15043856	GCA_014844295.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/844/295/GCA_014844295.1_ASM1484429v1	-	F2S17
Oenococcus kitaharae DSM 17330	1045004	PRJNA67967	67967	Terrabacteria group	Firmicutes	1.84224	42.6885	chromosome:NZ_CM001398.1/CM001398.1; plasmid unnamed:NZ_CM001399.1/CM001399.1	AFVZ01	2	3749	3614	2012/01/03	2020/05/03	Chromosome	The Australian Wine Research Institute	SAMN02471115	GCA_000241055.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/055/GCA_000241055.1_ASM24105v1	22235313	DSM 17330
Erwinia tracheiphila PSU-1	1044999	PRJNA67977	67977	Proteobacteria	Gammaproteobacteria	4.71727	50	-	APJK01	27	4355	3564	2013/05/30	2020/12/18	Scaffold	USDA-ARS-Pacific Basin Agricultural Research Center	SAMN01939134	GCA_000404125.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/404/125/GCA_000404125.1_Version_1_Erwinia_tracheiphila_PSU-1	-	PSU-1
Pseudoxanthomonas spadix BD-a59	1045855	PRJNA67981	67981	Proteobacteria	Gammaproteobacteria	3.45255	67.7	chromosome:NC_016147.2/CP003093.2	-	1	3200	3087	2011/11/02	2021/02/07	Complete Genome	Chung-Ang Univ.	SAMN02603133	GCA_000233915.4	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/915/GCA_000233915.4_ASM23391v4	22207748	BD-a59
Candidatus Mycoplasma haemolamae str. Purdue	1212765	PRJNA68151	68151	Terrabacteria group	Tenericutes	0.756845	39.3	chromosome:NC_018219.1/CP003731.1	-	1	984	931	2012/07/24	2021/01/31	Complete Genome	Purdue University	SAMN02603732	GCA_000281235.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/235/GCA_000281235.1_ASM28123v1	23105057	Purdue
Leptospirillum ferriphilum	178606	PRJNA248540	248540	Nitrospirae	Nitrospira	2.40588	54.1	-	JPGK01	18	2359	2290	2014/09/16	2021/01/24	Contig	Fundacion Ciencia & Vida	SAMN02894305	GCA_000755505.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/505/GCA_000755505.1_ASM75550v1	25377718	DSM 14647
Leuconostoc carnosum	1252	PRJNA544551	544551	Terrabacteria group	Firmicutes	1.70133	37.3348	chromosome:NZ_CP042374.1/CP042374.1; plasmid unnamed1:NZ_CP042375.1/CP042375.1; plasmid unnamed2:NZ_CP042376.1/CP042376.1	-	3	1726	1618	2019/08/11	2021/03/20	Complete Genome	World Institute of Kimchi	SAMN11843679	GCA_007954525.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/954/525/GCA_007954525.1_ASM795452v1	-	CBA3620
Secundilactobacillus malefermentans	176292	PRJNA544551	544551	Terrabacteria group	Firmicutes	2.0874	41.0305	chromosome:NZ_CP042371.1/CP042371.1; plasmid unnamed1:NZ_CP042372.1/CP042372.1; plasmid unnamed2:NZ_CP042373.1/CP042373.1	-	3	2070	1941	2019/08/20	2020/10/05	Complete Genome	World Institute of Kimchi	SAMN11843680	GCA_008033155.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/033/155/GCA_008033155.1_ASM803315v1	-	CBA3618
Lactobacillus suebicus DSM 5007 = KCTC 3549	1423807	PRJNA222257	222257	Terrabacteria group	Firmicutes	2.65131	39	-	AZGF01	81	2545	2431	2015/11/06	2021/02/01	Contig	Shanghai Majorbio	SAMN02369476	GCA_001434475.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/434/475/GCA_001434475.1_ASM143447v1	26415554	DSM 5007
Lactobacillus mali KCTC 3596 = DSM 20444	1046596	PRJNA222257	222257	Terrabacteria group	Firmicutes	2.59341	36.1	-	AYYH01	209	2584	2485	2015/11/06	2021/01/24	Scaffold	Shanghai Majorbio	SAMN02369460	GCA_001436535.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/436/535/GCA_001436535.1_ASM143653v1	26415554	DSM 20444
Lacticaseibacillus zeae	57037	PRJEB26763	476286	Terrabacteria group	Firmicutes	3.07341	47.9739	chromosome 1:NZ_LS991421.1/LS991421.1; plasmid 2:NZ_LS991422.1/LS991422.1	-	2	2889	2753	2018/08/06	2020/12/14	Complete Genome	BIOPOLIS S.L.	SAMEA4665296	GCA_900492555.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/492/555/GCA_900492555.1_CECT9104	-	CECT 9104
Lactobacillus versmoldensis DSM 14857 = KCTC 3814	1423815	PRJNA222257	222257	Terrabacteria group	Firmicutes	2.3732	38.3	-	AZFA01	62	2332	2232	2015/11/06	2021/01/24	Contig	Shanghai Majorbio	SAMN02369386	GCA_001434295.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/434/295/GCA_001434295.1_ASM143429v1	26415554	DSM 14857
Rhodococcus fascians D188	1051973	PRJNA313428	313428	Terrabacteria group	Actinobacteria	5.50211	64.584	chromosome:NZ_CP015235.1/CP015235.1; plasmid pFiD188:NZ_CP015236.1/CP015236.1; plasmid unnamed2:NZ_CP015237.1/CP015237.1	-	3	5163	5044	2016/04/14	2021/01/19	Complete Genome	New Mexico State University	SAMN04521220	GCA_001620305.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/620/305/GCA_001620305.1_ASM162030v1	27284129	D188
Dolichospermum circinale AWQC131C	398007	PRJNA179122	179122	Terrabacteria group	Cyanobacteria/Melainabacteria group	4.44565	37.4	-	APIY01	121	4165	3923	2013/07/12	2020/12/08	Scaffold	University of Western Sydney	SAMN02471998	GCA_000426905.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/426/905/GCA_000426905.1_Dcir131C	-	AWQC131C
Janibacter terrae NBRC 107854 = JCM 12887	1053688	PRJNA69541	69541	Terrabacteria group	Actinobacteria	3.29732	71.9	-	BDAR01	25	3267	3152	2016/03/12	2020/05/12	Contig	National Institute of Technology and Evaluation	SAMD00046505	GCA_001598955.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/955/GCA_001598955.1_ASM159895v1	-	NBRC 107854
